ensembl_gene_id	biomarkerset	external_gene_name	description
ENSG00000065923	DLBCLvsCtrl	SLC9A7	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]
ENSG00000066777	DLBCLvsCtrl	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]
ENSG00000067369	DLBCLvsCtrl	TP53BP1	tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11999]
ENSG00000067533	DLBCLvsCtrl	RRP15	ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]
ENSG00000068028	DLBCLvsCtrl	RASSF1	Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]
ENSG00000068308	DLBCLvsCtrl	OTUD5	OTU deubiquitinase 5 [Source:HGNC Symbol;Acc:HGNC:25402]
ENSG00000068831	DLBCLvsCtrl	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]
ENSG00000070367	DLBCLvsCtrl	EXOC5	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]
ENSG00000071575	DLBCLvsCtrl	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]
ENSG00000071967	DLBCLvsCtrl	CYBRD1	cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797]
ENSG00000074201	DLBCLvsCtrl	CLNS1A	chloride nucleotide-sensitive channel 1A [Source:HGNC Symbol;Acc:HGNC:2080]
ENSG00000075292	DLBCLvsCtrl	ZNF638	zinc finger protein 638 [Source:HGNC Symbol;Acc:HGNC:17894]
ENSG00000077984	DLBCLvsCtrl	CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]
ENSG00000078018	DLBCLvsCtrl	MAP2	microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]
ENSG00000078140	DLBCLvsCtrl	UBE2K	ubiquitin conjugating enzyme E2 K [Source:HGNC Symbol;Acc:HGNC:4914]
ENSG00000078142	DLBCLvsCtrl	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]
ENSG00000078369	DLBCLvsCtrl	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]
ENSG00000079335	DLBCLvsCtrl	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]
ENSG00000080200	DLBCLvsCtrl	CRYBG3	crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]
ENSG00000080546	DLBCLvsCtrl	SESN1	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]
ENSG00000082068	DLBCLvsCtrl	WDR70	WD repeat domain 70 [Source:HGNC Symbol;Acc:HGNC:25495]
ENSG00000085978	DLBCLvsCtrl	ATG16L1	autophagy related 16 like 1 [Source:HGNC Symbol;Acc:HGNC:21498]
ENSG00000089094	DLBCLvsCtrl	KDM2B	lysine demethylase 2B [Source:HGNC Symbol;Acc:HGNC:13610]
ENSG00000090263	DLBCLvsCtrl	MRPS33	mitochondrial ribosomal protein S33 [Source:HGNC Symbol;Acc:HGNC:16634]
ENSG00000090686	DLBCLvsCtrl	USP48	ubiquitin specific peptidase 48 [Source:HGNC Symbol;Acc:HGNC:18533]
ENSG00000091490	DLBCLvsCtrl	SEL1L3	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]
ENSG00000092108	DLBCLvsCtrl	SCFD1	sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]
ENSG00000092929	DLBCLvsCtrl	UNC13D	unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]
ENSG00000094975	DLBCLvsCtrl	SUCO	SUN domain containing ossification factor [Source:HGNC Symbol;Acc:HGNC:1240]
ENSG00000095564	DLBCLvsCtrl	BTAF1	B-TFIID TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:17307]
ENSG00000099783	DLBCLvsCtrl	HNRNPM	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046]
ENSG00000100220	DLBCLvsCtrl	RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:HGNC Symbol;Acc:HGNC:26935]
ENSG00000100387	DLBCLvsCtrl	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]
ENSG00000100526	DLBCLvsCtrl	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]
ENSG00000100650	DLBCLvsCtrl	SRSF5	serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]
ENSG00000100941	DLBCLvsCtrl	PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]
ENSG00000101745	DLBCLvsCtrl	ANKRD12	ankyrin repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:29135]
ENSG00000101986	DLBCLvsCtrl	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]
ENSG00000102781	DLBCLvsCtrl	KATNAL1	katanin catalytic subunit A1 like 1 [Source:HGNC Symbol;Acc:HGNC:28361]
ENSG00000102786	DLBCLvsCtrl	INTS6	integrator complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14879]
ENSG00000103064	DLBCLvsCtrl	SLC7A6	solute carrier family 7 member 6 [Source:HGNC Symbol;Acc:HGNC:11064]
ENSG00000103642	DLBCLvsCtrl	LACTB	lactamase beta [Source:HGNC Symbol;Acc:HGNC:16468]
ENSG00000103769	DLBCLvsCtrl	RAB11A	RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9760]
ENSG00000103876	DLBCLvsCtrl	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]
ENSG00000104412	DLBCLvsCtrl	EMC2	ER membrane protein complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28963]
ENSG00000104974	DLBCLvsCtrl	LILRA1	leukocyte immunoglobulin like receptor A1 [Source:HGNC Symbol;Acc:HGNC:6602]
ENSG00000105355	DLBCLvsCtrl	PLIN3	perilipin 3 [Source:HGNC Symbol;Acc:HGNC:16893]
ENSG00000107021	DLBCLvsCtrl	TBC1D13	TBC1 domain family member 13 [Source:HGNC Symbol;Acc:HGNC:25571]
ENSG00000107164	DLBCLvsCtrl	FUBP3	far upstream element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4005]
ENSG00000107201	DLBCLvsCtrl	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]
ENSG00000107485	DLBCLvsCtrl	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]
ENSG00000107938	DLBCLvsCtrl	EDRF1	erythroid differentiation regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:24640]
ENSG00000108219	DLBCLvsCtrl	TSPAN14	tetraspanin 14 [Source:HGNC Symbol;Acc:HGNC:23303]
ENSG00000108306	DLBCLvsCtrl	FBXL20	F-box and leucine rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679]
ENSG00000108599	DLBCLvsCtrl	AKAP10	A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368]
ENSG00000108848	DLBCLvsCtrl	LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]
ENSG00000109171	DLBCLvsCtrl	SLAIN2	SLAIN motif family member 2 [Source:HGNC Symbol;Acc:HGNC:29282]
ENSG00000109670	DLBCLvsCtrl	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]
ENSG00000109805	DLBCLvsCtrl	NCAPG	non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304]
ENSG00000110422	DLBCLvsCtrl	HIPK3	homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]
ENSG00000110721	DLBCLvsCtrl	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]
ENSG00000110934	DLBCLvsCtrl	BIN2	bridging integrator 2 [Source:HGNC Symbol;Acc:HGNC:1053]
ENSG00000111011	DLBCLvsCtrl	RSRC2	arginine and serine rich coiled-coil 2 [Source:HGNC Symbol;Acc:HGNC:30559]
ENSG00000111224	DLBCLvsCtrl	PARP11	poly(ADP-ribose) polymerase family member 11 [Source:HGNC Symbol;Acc:HGNC:1186]
ENSG00000111300	DLBCLvsCtrl	NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:25783]
ENSG00000111843	DLBCLvsCtrl	TMEM14C	transmembrane protein 14C [Source:HGNC Symbol;Acc:HGNC:20952]
ENSG00000111860	DLBCLvsCtrl	CEP85L	centrosomal protein 85 like [Source:HGNC Symbol;Acc:HGNC:21638]
ENSG00000112249	DLBCLvsCtrl	ASCC3	activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697]
ENSG00000112851	DLBCLvsCtrl	ERBIN	erbb2 interacting protein [Source:HGNC Symbol;Acc:HGNC:15842]
ENSG00000113810	DLBCLvsCtrl	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]
ENSG00000113845	DLBCLvsCtrl	TIMMDC1	translocase of inner mitochondrial membrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1321]
ENSG00000114127	DLBCLvsCtrl	XRN1	5'-3' exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:30654]
ENSG00000115419	DLBCLvsCtrl	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]
ENSG00000115760	DLBCLvsCtrl	BIRC6	baculoviral IAP repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:13516]
ENSG00000115825	DLBCLvsCtrl	PRKD3	protein kinase D3 [Source:HGNC Symbol;Acc:HGNC:9408]
ENSG00000115947	DLBCLvsCtrl	ORC4	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]
ENSG00000115970	DLBCLvsCtrl	THADA	THADA, armadillo repeat containing [Source:HGNC Symbol;Acc:HGNC:19217]
ENSG00000116251	DLBCLvsCtrl	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]
ENSG00000116580	DLBCLvsCtrl	GON4L	gon-4 like [Source:HGNC Symbol;Acc:HGNC:25973]
ENSG00000116668	DLBCLvsCtrl	SWT1	SWT1, RNA endoribonuclease homolog [Source:HGNC Symbol;Acc:HGNC:16785]
ENSG00000117020	DLBCLvsCtrl	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]
ENSG00000117523	DLBCLvsCtrl	PRRC2C	proline rich coiled-coil 2C [Source:HGNC Symbol;Acc:HGNC:24903]
ENSG00000117602	DLBCLvsCtrl	RCAN3	RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042]
ENSG00000117758	DLBCLvsCtrl	STX12	syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]
ENSG00000118985	DLBCLvsCtrl	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]
ENSG00000119004	DLBCLvsCtrl	CYP20A1	cytochrome P450 family 20 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:20576]
ENSG00000119414	DLBCLvsCtrl	PPP6C	protein phosphatase 6 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9323]
ENSG00000119912	DLBCLvsCtrl	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]
ENSG00000120915	DLBCLvsCtrl	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]
ENSG00000121413	DLBCLvsCtrl	ZSCAN18	zinc finger and SCAN domain containing 18 [Source:HGNC Symbol;Acc:HGNC:21037]
ENSG00000121895	DLBCLvsCtrl	TMEM156	transmembrane protein 156 [Source:HGNC Symbol;Acc:HGNC:26260]
ENSG00000121989	DLBCLvsCtrl	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]
ENSG00000124177	DLBCLvsCtrl	CHD6	chromodomain helicase DNA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19057]
ENSG00000124942	DLBCLvsCtrl	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]
ENSG00000125676	DLBCLvsCtrl	THOC2	THO complex 2 [Source:HGNC Symbol;Acc:HGNC:19073]
ENSG00000125966	DLBCLvsCtrl	MMP24	matrix metallopeptidase 24 [Source:HGNC Symbol;Acc:HGNC:7172]
ENSG00000126787	DLBCLvsCtrl	DLGAP5	DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]
ENSG00000127311	DLBCLvsCtrl	HELB	DNA helicase B [Source:HGNC Symbol;Acc:HGNC:17196]
ENSG00000128708	DLBCLvsCtrl	HAT1	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]
ENSG00000129003	DLBCLvsCtrl	VPS13C	vacuolar protein sorting 13 homolog C [Source:HGNC Symbol;Acc:HGNC:23594]
ENSG00000129691	DLBCLvsCtrl	ASH2L	ASH2 like histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]
ENSG00000130638	DLBCLvsCtrl	ATXN10	ataxin 10 [Source:HGNC Symbol;Acc:HGNC:10549]
ENSG00000131013	DLBCLvsCtrl	PPIL4	peptidylprolyl isomerase like 4 [Source:HGNC Symbol;Acc:HGNC:15702]
ENSG00000131100	DLBCLvsCtrl	ATP6V1E1	ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]
ENSG00000131149	DLBCLvsCtrl	GSE1	Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]
ENSG00000131374	DLBCLvsCtrl	TBC1D5	TBC1 domain family member 5 [Source:HGNC Symbol;Acc:HGNC:19166]
ENSG00000132205	DLBCLvsCtrl	EMILIN2	elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]
ENSG00000132383	DLBCLvsCtrl	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]
ENSG00000132388	DLBCLvsCtrl	UBE2G1	ubiquitin conjugating enzyme E2 G1 [Source:HGNC Symbol;Acc:HGNC:12482]
ENSG00000132463	DLBCLvsCtrl	GRSF1	G-rich RNA sequence binding factor 1 [Source:HGNC Symbol;Acc:HGNC:4610]
ENSG00000132535	DLBCLvsCtrl	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]
ENSG00000132549	DLBCLvsCtrl	VPS13B	vacuolar protein sorting 13 homolog B [Source:HGNC Symbol;Acc:HGNC:2183]
ENSG00000133104	DLBCLvsCtrl	SPART	spartin [Source:HGNC Symbol;Acc:HGNC:18514]
ENSG00000133134	DLBCLvsCtrl	BEX2	brain expressed X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30933]
ENSG00000133858	DLBCLvsCtrl	ZFC3H1	zinc finger C3H1-type containing [Source:HGNC Symbol;Acc:HGNC:28328]
ENSG00000134030	DLBCLvsCtrl	CTIF	cap binding complex dependent translation initiation factor [Source:HGNC Symbol;Acc:HGNC:23925]
ENSG00000134186	DLBCLvsCtrl	PRPF38B	pre-mRNA processing factor 38B [Source:HGNC Symbol;Acc:HGNC:25512]
ENSG00000134602	DLBCLvsCtrl	STK26	serine/threonine kinase 26 [Source:HGNC Symbol;Acc:HGNC:18174]
ENSG00000135837	DLBCLvsCtrl	CEP350	centrosomal protein 350 [Source:HGNC Symbol;Acc:HGNC:24238]
ENSG00000136044	DLBCLvsCtrl	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:HGNC Symbol;Acc:HGNC:18242]
ENSG00000136111	DLBCLvsCtrl	TBC1D4	TBC1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:19165]
ENSG00000136271	DLBCLvsCtrl	DDX56	DEAD-box helicase 56 [Source:HGNC Symbol;Acc:HGNC:18193]
ENSG00000136573	DLBCLvsCtrl	BLK	BLK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1057]
ENSG00000136715	DLBCLvsCtrl	SAP130	Sin3A associated protein 130 [Source:HGNC Symbol;Acc:HGNC:29813]
ENSG00000136826	DLBCLvsCtrl	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]
ENSG00000136888	DLBCLvsCtrl	ATP6V1G1	ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]
ENSG00000137200	DLBCLvsCtrl	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]
ENSG00000137601	DLBCLvsCtrl	NEK1	NIMA related kinase 1 [Source:HGNC Symbol;Acc:HGNC:7744]
ENSG00000138160	DLBCLvsCtrl	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]
ENSG00000138768	DLBCLvsCtrl	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]
ENSG00000138777	DLBCLvsCtrl	PPA2	pyrophosphatase (inorganic) 2 [Source:HGNC Symbol;Acc:HGNC:28883]
ENSG00000138964	DLBCLvsCtrl	PARVG	parvin gamma [Source:HGNC Symbol;Acc:HGNC:14654]
ENSG00000139726	DLBCLvsCtrl	DENR	density regulated re-initiation and release factor [Source:HGNC Symbol;Acc:HGNC:2769]
ENSG00000140612	DLBCLvsCtrl	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]
ENSG00000140968	DLBCLvsCtrl	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]
ENSG00000141098	DLBCLvsCtrl	GFOD2	glucose-fructose oxidoreductase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28159]
ENSG00000141179	DLBCLvsCtrl	PCTP	phosphatidylcholine transfer protein [Source:HGNC Symbol;Acc:HGNC:8752]
ENSG00000141519	DLBCLvsCtrl	CCDC40	coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:HGNC:26090]
ENSG00000141956	DLBCLvsCtrl	PRDM15	PR/SET domain 15 [Source:HGNC Symbol;Acc:HGNC:13999]
ENSG00000142002	DLBCLvsCtrl	DPP9	dipeptidyl peptidase 9 [Source:HGNC Symbol;Acc:HGNC:18648]
ENSG00000143353	DLBCLvsCtrl	LYPLAL1	lysophospholipase like 1 [Source:HGNC Symbol;Acc:HGNC:20440]
ENSG00000143549	DLBCLvsCtrl	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]
ENSG00000143643	DLBCLvsCtrl	TTC13	tetratricopeptide repeat domain 13 [Source:HGNC Symbol;Acc:HGNC:26204]
ENSG00000143742	DLBCLvsCtrl	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]
ENSG00000143756	DLBCLvsCtrl	FBXO28	F-box protein 28 [Source:HGNC Symbol;Acc:HGNC:29046]
ENSG00000143797	DLBCLvsCtrl	MBOAT2	membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]
ENSG00000144645	DLBCLvsCtrl	OSBPL10	oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]
ENSG00000145715	DLBCLvsCtrl	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]
ENSG00000146463	DLBCLvsCtrl	ZMYM4	zinc finger MYM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:13055]
ENSG00000146757	DLBCLvsCtrl	ZNF92	zinc finger protein 92 [Source:HGNC Symbol;Acc:HGNC:13168]
ENSG00000147459	DLBCLvsCtrl	DOCK5	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]
ENSG00000148356	DLBCLvsCtrl	LRSAM1	leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25135]
ENSG00000151292	DLBCLvsCtrl	CSNK1G3	casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]
ENSG00000151414	DLBCLvsCtrl	NEK7	NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]
ENSG00000151461	DLBCLvsCtrl	UPF2	UPF2, regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:17854]
ENSG00000151503	DLBCLvsCtrl	NCAPD3	non-SMC condensin II complex subunit D3 [Source:HGNC Symbol;Acc:HGNC:28952]
ENSG00000151623	DLBCLvsCtrl	NR3C2	nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]
ENSG00000151694	DLBCLvsCtrl	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]
ENSG00000152127	DLBCLvsCtrl	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7049]
ENSG00000152495	DLBCLvsCtrl	CAMK4	calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]
ENSG00000153048	DLBCLvsCtrl	CARHSP1	calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]
ENSG00000153064	DLBCLvsCtrl	BANK1	B cell scaffold protein with ankyrin repeats 1 [Source:HGNC Symbol;Acc:HGNC:18233]
ENSG00000154124	DLBCLvsCtrl	OTULIN	OTU deubiquitinase with linear linkage specificity [Source:HGNC Symbol;Acc:HGNC:25118]
ENSG00000155307	DLBCLvsCtrl	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]
ENSG00000155876	DLBCLvsCtrl	RRAGA	Ras related GTP binding A [Source:HGNC Symbol;Acc:HGNC:16963]
ENSG00000156261	DLBCLvsCtrl	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]
ENSG00000156299	DLBCLvsCtrl	TIAM1	T cell lymphoma invasion and metastasis 1 [Source:HGNC Symbol;Acc:HGNC:11805]
ENSG00000156587	DLBCLvsCtrl	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]
ENSG00000156697	DLBCLvsCtrl	UTP14A	UTP14A, small subunit processome component [Source:HGNC Symbol;Acc:HGNC:10665]
ENSG00000156738	DLBCLvsCtrl	MS4A1	membrane spanning 4-domains A1 [Source:HGNC Symbol;Acc:HGNC:7315]
ENSG00000156787	DLBCLvsCtrl	TBC1D31	TBC1 domain family member 31 [Source:HGNC Symbol;Acc:HGNC:30888]
ENSG00000156970	DLBCLvsCtrl	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]
ENSG00000157540	DLBCLvsCtrl	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]
ENSG00000159086	DLBCLvsCtrl	PAXBP1	PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13579]
ENSG00000159256	DLBCLvsCtrl	MORC3	MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572]
ENSG00000159322	DLBCLvsCtrl	ADPGK	ADP dependent glucokinase [Source:HGNC Symbol;Acc:HGNC:25250]
ENSG00000159593	DLBCLvsCtrl	NAE1	NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621]
ENSG00000160185	DLBCLvsCtrl	UBASH3A	ubiquitin associated and SH3 domain containing A [Source:HGNC Symbol;Acc:HGNC:12462]
ENSG00000160285	DLBCLvsCtrl	LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]
ENSG00000160551	DLBCLvsCtrl	TAOK1	TAO kinase 1 [Source:HGNC Symbol;Acc:HGNC:29259]
ENSG00000160654	DLBCLvsCtrl	CD3G	CD3g molecule [Source:HGNC Symbol;Acc:HGNC:1675]
ENSG00000161813	DLBCLvsCtrl	LARP4	La ribonucleoprotein domain family member 4 [Source:HGNC Symbol;Acc:HGNC:24320]
ENSG00000162607	DLBCLvsCtrl	USP1	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]
ENSG00000162889	DLBCLvsCtrl	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]
ENSG00000162909	DLBCLvsCtrl	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]
ENSG00000163346	DLBCLvsCtrl	PBXIP1	PBX homeobox interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21199]
ENSG00000163634	DLBCLvsCtrl	THOC7	THO complex 7 [Source:HGNC Symbol;Acc:HGNC:29874]
ENSG00000163803	DLBCLvsCtrl	PLB1	phospholipase B1 [Source:HGNC Symbol;Acc:HGNC:30041]
